Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,1876.03768901749,0.42857142857142855,1,0
2,2002.9561088817795,0.42857142857142855,1,0
3,2011.407542119348,0.42857142857142855,1,0
4,2017.679402934587,0.42857142857142855,1,0
5,2021.9922693473147,0.42857142857142855,1,0
6,2025.9635285887343,0.42857142857142855,1,0
7,2031.202215221631,0.42857142857142855,1,0
8,2757.899609533581,0.6444444444444444,1,0
9,4185.86037697849,0.6444444444444444,1,0
10,4120.3024415077325,0.7948717948717949,1,0
11,5423.525306484021,0.9085714285714286,1,0
12,6952.3794542179785,1.0,1,0
13,7243.457873498349,1.0,1,0
14,7242.742834233865,1.0,1,0
15,7242.5226663965295,1.0,1,0
16,7242.3981139615835,1.0,1,0
17,7242.074020245478,1.0,1,0
18,7241.855797554287,1.0,1,0
19,7240.988647225387,1.0,1,0
20,7240.406313237117,1.0,1,0
21,7239.82253909722,1.0,1,0
22,7239.441395307251,1.0,1,0
23,7238.753022042624,1.0,1,0
24,7237.874562023141,1.0,1,0
25,7236.594082170514,1.0,1,0
26,7236.488459144629,1.0,1,0
27,7236.812369893902,1.0,1,0
28,7236.384721797921,1.0,1,0
29,7235.878149923765,1.0,1,0
30,7235.881359228201,1.0,1,0
31,7235.199807904451,1.0,1,0
32,7235.338487780944,1.0,1,0
33,7235.332691395097,1.0,1,0
34,7234.848061771314,1.0,1,0
35,7235.091448150635,1.0,1,0
36,7235.412175131301,1.0,1,0
37,7235.344503768321,1.0,1,0
38,7234.8454115695695,1.0,1,0
39,7234.567785085997,1.0,1,0
40,7234.197990707724,1.0,1,0
41,7234.504305833312,1.0,1,0
42,7233.876574768878,1.0,1,0
43,7233.4068324836735,1.0,1,0
44,7233.279125686846,1.0,1,0
45,7233.035986785533,1.0,1,0
46,7232.725837068034,1.0,1,0
47,7232.524419640015,1.0,1,0
48,7231.799058243059,1.0,1,0
49,7232.03365940273,1.0,1,0
50,7232.5563124942755,1.0,1,0
