Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7184.189349767397,1.0,1,0
2,7195.679034338555,1.0,1,0
3,7195.81740090882,1.0,1,0
4,7195.81740090882,1.0,1,0
5,7195.81740090882,1.0,1,0
6,7195.81740090882,1.0,1,0
7,7195.81740090882,1.0,1,0
8,7195.81740090882,1.0,1,0
9,7195.81740090882,1.0,1,0
10,7195.81740090882,1.0,1,0
11,7195.81740090882,1.0,1,0
12,7195.81740090882,1.0,1,0
13,7195.81740090882,1.0,1,0
14,7195.81740090882,1.0,1,0
15,7195.81740090882,1.0,1,0
16,7195.81740090882,1.0,1,0
17,7195.81740090882,1.0,1,0
18,7195.81740090882,1.0,1,0
19,7195.81740090882,1.0,1,0
20,7195.81740090882,1.0,1,0
21,7195.81740090882,1.0,1,0
22,7195.81740090882,1.0,1,0
23,7195.81740090882,1.0,1,0
24,7195.81740090882,1.0,1,0
25,7195.81740090882,1.0,1,0
26,7195.81740090882,1.0,1,0
27,7195.81740090882,1.0,1,0
28,7195.81740090882,1.0,1,0
29,7195.81740090882,1.0,1,0
30,7195.81740090882,1.0,1,0
31,7195.747253102522,1.0,1,0
32,7195.585988580877,1.0,1,0
33,7195.465922193278,1.0,1,0
34,7195.111325750111,1.0,1,0
35,7193.717925454992,1.0,1,0
36,7191.796414040491,1.0,1,0
37,7189.386663933462,1.0,1,0
38,7186.543787827265,1.0,1,0
39,7183.368835766933,1.0,1,0
40,7180.481472421996,1.0,1,0
41,7180.326038988448,1.0,1,0
42,7179.559614624477,1.0,1,0
43,7179.099797237483,1.0,1,0
44,7178.518905232328,1.0,1,0
45,7177.140244417958,1.0,1,0
46,7176.1086287417465,1.0,1,0
47,7176.582746120432,1.0,1,0
48,7178.522479703924,1.0,1,0
49,7177.676620388785,1.0,1,0
50,7174.844820976567,1.0,1,0
