Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7160.006469271418,1.0,1,0
2,7194.944740563933,1.0,1,0
3,7195.29245414888,1.0,1,0
4,7195.505474555244,1.0,1,0
5,7195.571205699883,1.0,1,0
6,7195.663301418714,1.0,1,0
7,7195.711595540357,1.0,1,0
8,7195.75018989476,1.0,1,0
9,7195.781740670183,1.0,1,0
10,7195.807894844726,1.0,1,0
11,7195.81740090882,1.0,1,0
12,7195.81740090882,1.0,1,0
13,7195.81740090882,1.0,1,0
14,7195.81740090882,1.0,1,0
15,7195.81740090882,1.0,1,0
16,7195.81740090882,1.0,1,0
17,7195.81740090882,1.0,1,0
18,7195.81740090882,1.0,1,0
19,7195.81740090882,1.0,1,0
20,7195.81740090882,1.0,1,0
21,7195.81740090882,1.0,1,0
22,7195.81740090882,1.0,1,0
23,7195.81740090882,1.0,1,0
24,7195.81740090882,1.0,1,0
25,7195.81740090882,1.0,1,0
26,7195.81740090882,1.0,1,0
27,7195.81740090882,1.0,1,0
28,7195.81740090882,1.0,1,0
29,7195.81740090882,1.0,1,0
30,7195.81740090882,1.0,1,0
31,7191.338087894371,1.0,1,0
32,7075.8836689176005,0.8901098901098901,1,0
33,3552.8254343469057,0.375,1,0
34,1699.7334670226483,0.23076923076923078,1,0
35,1678.8187055415942,0.23076923076923078,1,0
36,1672.4456429048291,0.23076923076923078,1,0
37,1667.6693209407515,0.23076923076923078,1,0
38,1664.1026182390206,0.23076923076923078,1,0
39,1661.096840366289,0.23076923076923078,1,0
40,1658.789564719743,0.23076923076923078,1,0
41,1656.7514679806397,0.23076923076923078,1,0
42,1655.0650684676173,0.23076923076923078,1,0
43,1653.6155935773577,0.23076923076923078,1,0
44,1652.3614463897213,0.23076923076923078,1,0
45,1651.2047987500541,0.23076923076923078,1,0
46,1650.273348741813,0.23076923076923078,1,0
47,1649.43321037671,0.23076923076923078,1,0
48,1648.6246775380953,0.23076923076923078,1,0
49,1647.9109358986889,0.23076923076923078,1,0
50,1647.2486731511117,0.23076923076923078,1,0
51,1646.6659450914997,0.23076923076923078,1,0
52,1646.1079255358197,0.23076923076923078,1,0
53,1645.7018910058734,0.23076923076923078,1,0
54,1645.200013623517,0.23076923076923078,1,0
55,1644.7746914521958,0.23076923076923078,1,0
56,1644.4107082217074,0.23076923076923078,1,0
57,1644.0719443395403,0.23076923076923078,1,0
58,1643.7046399175233,0.23076923076923078,1,0
59,1643.4083332518853,0.23076923076923078,1,0
60,1643.1328574209326,0.23076923076923078,1,0
61,1642.8623433512719,0.23076923076923078,1,0
62,1642.6164259743075,0.23076923076923078,1,0
63,1642.3380635358976,0.23076923076923078,1,0
64,1642.1455406889288,0.23076923076923078,1,0
65,1641.9278387003003,0.23076923076923078,1,0
66,1641.708327091089,0.23076923076923078,1,0
67,1641.5470447231992,0.23076923076923078,1,0
68,1641.3752060116542,0.23076923076923078,1,0
69,1641.1854612057498,0.23076923076923078,1,0
70,1641.0145341031673,0.23076923076923078,1,0
71,1640.8661382633404,0.23076923076923078,1,0
72,1640.7348774395648,0.23076923076923078,1,0
73,1640.5837999411854,0.23076923076923078,1,0
74,1640.423658387535,0.23076923076923078,1,0
75,1640.3361718489007,0.23076923076923078,1,0
76,1640.1999642557873,0.23076923076923078,1,0
77,1640.094543847325,0.23076923076923078,1,0
78,1639.948935382808,0.23076923076923078,1,0
79,1639.858695268268,0.23076923076923078,1,0
80,1639.7815800563553,0.23076923076923078,1,0
81,1639.6880211461828,0.23076923076923078,1,0
82,1639.5576292063056,0.23076923076923078,1,0
83,1639.450546765241,0.23076923076923078,1,0
84,1639.358092201841,0.23076923076923078,1,0
85,1639.2763027846304,0.23076923076923078,1,0
86,1639.1981634226486,0.23076923076923078,1,0
87,1639.1453724050377,0.23076923076923078,1,0
88,1639.0616957268032,0.23076923076923078,1,0
89,1638.968396434227,0.23076923076923078,1,0
90,1638.9235379348158,0.23076923076923078,1,0
91,1638.8156760183115,0.23076923076923078,1,0
92,1638.735587695208,0.23076923076923078,1,0
93,1638.677774161248,0.23076923076923078,1,0
94,1638.6353838230473,0.23076923076923078,1,0
95,1638.5809399372622,0.23076923076923078,1,0
96,1638.5432832352633,0.23076923076923078,1,0
97,1638.4606248559037,0.23076923076923078,1,0
98,1638.399590798109,0.23076923076923078,1,0
99,1638.3485937368944,0.23076923076923078,1,0
100,1638.3014909321666,0.23076923076923078,1,0
