Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,5299.918967053943,0.696969696969697,1,0
2,3869.785890166191,0.23076923076923078,1,0
3,2310.032796981222,0.23076923076923078,1,0
4,2048.8366435346734,0.375,1,0
5,2217.8748382115978,0.375,1,0
6,2116.4079081560967,0.23076923076923078,1,0
7,2080.3201096910107,0.23076923076923078,1,0
8,2318.671977265377,0.4949494949494949,1,0
9,2002.1048590636897,0.23076923076923078,1,0
10,2172.458426181984,0.23076923076923078,1,0
11,2023.1425536484028,0.23076923076923078,1,0
12,1917.1494620518702,0.23076923076923078,1,0
13,1919.1877121561145,0.23076923076923078,1,0
14,2002.4709885188336,0.23076923076923078,1,0
15,1996.745584391498,0.23076923076923078,1,0
16,1948.3326963581042,0.23076923076923078,1,0
17,1986.6147144728523,0.23076923076923078,1,0
18,2166.239156295793,0.4949494949494949,1,0
19,2711.7559927553243,0.375,1,0
20,2590.682951406713,0.4949494949494949,1,0
21,3932.4081517729796,0.7916666666666667,1,0
22,7039.3136573550755,1.0,1,0
23,7121.900276619321,1.0,1,0
24,7126.722990691396,1.0,1,0
25,7130.923934740504,1.0,1,0
26,7134.651533652727,1.0,1,0
27,7137.978697006896,1.0,1,0
28,7140.981801064721,1.0,1,0
29,7143.702857129545,1.0,1,0
30,7146.18952466914,1.0,1,0
31,7148.472864781767,1.0,1,0
32,7150.578710896627,1.0,1,0
33,7152.522189969421,1.0,1,0
34,7154.320200806381,1.0,1,0
35,7155.99813541777,1.0,1,0
36,7157.565698709716,1.0,1,0
37,7159.029762803279,1.0,1,0
38,7160.402295661363,1.0,1,0
39,7161.69118516184,1.0,1,0
40,7162.904176139054,1.0,1,0
41,7164.048704747445,1.0,1,0
42,7165.1298866312345,1.0,1,0
43,7166.1519173416555,1.0,1,0
44,7167.120898119685,1.0,1,0
45,7168.039570916974,1.0,1,0
46,7168.912795984654,1.0,1,0
47,7169.743054560735,1.0,1,0
48,7170.534542757855,1.0,1,0
49,7171.285690398227,1.0,1,0
50,7172.0029076609435,1.0,1,0
