Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,2448.297116711023,0.42857142857142855,1,0
2,2013.8713506621582,0.42857142857142855,1,0
3,2021.6987777179818,0.42857142857142855,1,0
4,2024.006680419243,0.42857142857142855,1,0
5,2028.6367019422762,0.42857142857142855,1,0
6,2033.2946666817677,0.42857142857142855,1,0
7,2762.9025433753727,0.6444444444444444,1,0
8,3987.1961556960387,0.7948717948717949,1,0
9,6029.532383790059,0.9085714285714286,1,0
10,6305.562503174569,0.9085714285714286,1,0
11,6965.460986992116,1.0,1,0
12,7248.496176351791,1.0,1,0
13,7249.409219109686,1.0,1,0
14,7249.284149839639,1.0,1,0
15,7250.62927642495,1.0,1,0
16,7252.014559580558,1.0,1,0
17,7252.303771354842,1.0,1,0
18,7252.653749481033,1.0,1,0
19,7252.057048247221,1.0,1,0
20,7251.886806727514,1.0,1,0
21,7251.430830961015,1.0,1,0
22,7250.731045655072,1.0,1,0
23,7250.4293652959595,1.0,1,0
24,7250.156042549548,1.0,1,0
25,7250.5486570982275,1.0,1,0
26,7251.106303819848,1.0,1,0
27,7251.505224639241,1.0,1,0
28,7251.028425241432,1.0,1,0
29,7250.367971801437,1.0,1,0
30,7250.630232364045,1.0,1,0
31,7250.569819390514,1.0,1,0
32,7250.499061051649,1.0,1,0
33,7249.359604925369,1.0,1,0
34,7248.771163158951,1.0,1,0
35,7247.703204498115,1.0,1,0
36,7247.204167449195,1.0,1,0
37,7247.693089485929,1.0,1,0
38,7248.539986061703,1.0,1,0
39,7250.667868484498,1.0,1,0
40,7203.945066927628,1.0,1,0
41,7250.4120799845605,1.0,1,0
42,7249.911347980744,1.0,1,0
43,7249.696939767167,1.0,1,0
44,7248.526001088266,1.0,1,0
45,7247.882556623101,1.0,1,0
46,7247.215512278004,1.0,1,0
47,7247.207159111662,1.0,1,0
48,7249.09881717995,1.0,1,0
49,7252.337005153495,1.0,1,0
50,7254.250909439779,1.0,1,0
