Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7020.113145987447,1.0,1,0
2,7195.088174643871,1.0,1,0
3,7195.530020405857,1.0,1,0
4,7195.81568564631,1.0,1,0
5,7195.81740090882,1.0,1,0
6,7195.81740090882,1.0,1,0
7,7195.81740090882,1.0,1,0
8,7195.81740090882,1.0,1,0
9,7195.81740090882,1.0,1,0
10,7195.81740090882,1.0,1,0
11,7195.81740090882,1.0,1,0
12,7195.81740090882,1.0,1,0
13,7195.81740090882,1.0,1,0
14,7195.81740090882,1.0,1,0
15,7195.81740090882,1.0,1,0
16,7195.81740090882,1.0,1,0
17,7195.81740090882,1.0,1,0
18,7195.81740090882,1.0,1,0
19,7195.81740090882,1.0,1,0
20,7195.81740090882,1.0,1,0
21,7195.81740090882,1.0,1,0
22,7195.81740090882,1.0,1,0
23,7195.81740090882,1.0,1,0
24,7195.81740090882,1.0,1,0
25,7195.81740090882,1.0,1,0
26,7195.81740090882,1.0,1,0
27,7195.81740090882,1.0,1,0
28,7195.81740090882,1.0,1,0
29,7195.81740090882,1.0,1,0
30,7195.81740090882,1.0,1,0
31,7195.805130861769,1.0,1,0
32,7195.703027862965,1.0,1,0
33,7195.631523671853,1.0,1,0
34,7195.6469209339775,1.0,1,0
35,7195.4645047080685,1.0,1,0
36,7195.243369771792,1.0,1,0
37,7194.400470451946,1.0,1,0
38,7193.437191392722,1.0,1,0
39,7192.411764250199,1.0,1,0
40,7191.355769966579,1.0,1,0
41,7190.312996419804,1.0,1,0
42,7189.297589406812,1.0,1,0
43,7188.332748565269,1.0,1,0
44,7187.416790132483,1.0,1,0
45,7186.553095960676,1.0,1,0
46,7185.739393977911,1.0,1,0
47,7184.964545929129,1.0,1,0
48,7184.232370699442,1.0,1,0
49,7183.52703505487,1.0,1,0
50,7182.8540377951895,1.0,1,0
