Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7158.983890169005,1.0,1,0
2,7112.56191334497,0.8901098901098901,1,0
3,6932.119702200823,1.0,1,0
4,7127.922606263422,1.0,1,0
5,7132.633793237639,1.0,1,0
6,7129.6682965932105,1.0,1,0
7,7128.90272656826,1.0,1,0
8,7129.275492256999,1.0,1,0
9,7133.190714385031,1.0,1,0
10,7129.101989624535,1.0,1,0
11,7128.987689600056,1.0,1,0
12,7131.434943717823,1.0,1,0
13,7132.877414186317,1.0,1,0
14,7133.78892815748,1.0,1,0
15,7133.868689019392,1.0,1,0
16,7132.723786124305,1.0,1,0
17,7126.1215114574925,1.0,1,0
18,7130.786612240098,1.0,1,0
19,7128.930763988698,1.0,1,0
20,7128.777309103234,1.0,1,0
21,7128.456401219656,1.0,1,0
22,7127.969418168495,1.0,1,0
23,7128.738696152607,1.0,1,0
24,7133.360243362655,1.0,1,0
25,7131.9956362426665,1.0,1,0
26,7125.195467794878,1.0,1,0
27,7124.498470778039,1.0,1,0
28,7124.375684137354,1.0,1,0
29,7124.356622697623,1.0,1,0
30,7128.9110141841475,1.0,1,0
31,7130.035012406702,1.0,1,0
32,7129.350119024204,1.0,1,0
33,7126.399090955104,1.0,1,0
34,7124.54849307983,1.0,1,0
35,7123.98481744563,1.0,1,0
36,7124.904027141684,1.0,1,0
37,7130.1802432242985,1.0,1,0
38,7129.266869485727,1.0,1,0
39,7126.038183379108,1.0,1,0
40,7123.3939924425895,1.0,1,0
41,7123.773648845395,1.0,1,0
42,7124.063213483366,1.0,1,0
43,7127.970655958378,1.0,1,0
44,7129.225239028929,1.0,1,0
45,7128.018310230422,1.0,1,0
46,7124.496818622275,1.0,1,0
47,7121.694741400174,1.0,1,0
48,7120.87171929652,1.0,1,0
49,7124.3493261001295,1.0,1,0
50,7124.51348505285,1.0,1,0
