Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,5640.446893994142,0.8901098901098901,1,0
2,6374.663645484084,1.0,1,0
3,6598.715697984683,0.8901098901098901,1,0
4,6236.062988695247,1.0,1,0
5,6944.870721843315,1.0,1,0
6,6743.889111104368,1.0,1,0
7,6674.557738418012,0.8901098901098901,1,0
8,6790.055849669958,1.0,1,0
9,6596.145425285593,0.7916666666666667,1,0
10,6799.443196872844,1.0,1,0
11,7016.961683476848,1.0,1,0
12,6734.624767826647,0.7916666666666667,1,0
13,6669.755671914545,1.0,1,0
14,7086.648620621078,1.0,1,0
15,6417.606181542712,1.0,1,0
16,6333.201786198314,1.0,1,0
17,6987.286225875612,1.0,1,0
18,6574.087267205852,0.7916666666666667,1,0
19,6565.3305510605105,1.0,1,0
20,6841.577328745336,1.0,1,0
21,6965.254234939172,0.8901098901098901,1,0
22,7073.004361761081,1.0,1,0
23,6865.2031064622915,0.8901098901098901,1,0
24,6449.9461076813395,0.7916666666666667,1,0
25,6573.241872030248,1.0,1,0
26,7096.83355604455,1.0,1,0
27,7043.885392375451,0.8901098901098901,1,0
28,6786.884064641527,1.0,1,0
29,6653.5686573256535,1.0,1,0
30,6901.589148745796,1.0,1,0
31,6732.324657141564,1.0,1,0
32,6909.25277322081,1.0,1,0
33,7096.312548472496,1.0,1,0
34,7019.389994124106,0.8901098901098901,1,0
35,7027.362109372822,0.8901098901098901,1,0
36,6562.222212385024,0.8901098901098901,1,0
37,7096.878254416826,1.0,1,0
38,6690.243171628829,1.0,1,0
39,7098.191619205346,1.0,1,0
40,6989.377416950188,1.0,1,0
41,6750.1378928513495,1.0,1,0
42,6516.477340587546,1.0,1,0
43,7065.849460535991,1.0,1,0
44,5624.769897224754,1.0,1,0
45,7096.305264423305,1.0,1,0
46,7097.5140892492955,1.0,1,0
47,7002.185534616313,0.7916666666666667,1,0
48,6598.966121447569,0.7916666666666667,1,0
49,6954.487653726857,1.0,1,0
50,7096.10504343569,1.0,1,0
