Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,3280.2395738229475,0.5465587044534412,1,0
2,3850.2714665426392,0.5465587044534412,1,0
3,3427.8944553065903,0.5,1,0
4,3155.4677017430317,0.43529411764705883,1,0
5,3293.3448774169347,0.43529411764705883,1,0
6,3445.471072568793,0.5,1,0
7,3411.4512237197264,0.30980392156862746,1,0
8,4011.789262664846,0.7333333333333334,1,0
9,3257.9380649739137,0.5607843137254902,1,0
10,3719.1930415667325,0.6761133603238867,1,0
11,2776.6132301405487,0.2874493927125506,1,0
12,2485.4190143159212,0.5,1,0
13,3240.8420690672297,0.36507936507936506,1,0
14,4494.5156801354005,0.7922077922077921,1,0
15,3996.349280273614,0.43529411764705883,1,0
16,3753.4850145077785,0.9227053140096618,1,0
17,4126.450132526669,0.5,1,0
18,3528.27470101931,0.6190476190476191,1,0
19,3757.0787331716692,0.36507936507936506,1,0
20,3135.859576351403,0.36507936507936506,1,0
21,3383.6719503085606,0.43529411764705883,1,0
22,3045.4995025859207,0.43529411764705883,1,0
23,3330.7297728106264,0.36507936507936506,1,0
24,2617.2352049149426,0.2874493927125506,1,0
25,3206.533342813838,0.5607843137254902,1,0
26,2683.666613922191,0.5,1,0
27,3210.7156995174573,0.5151515151515151,1,0
28,978.5978310267849,0.15789473684210525,1,0
29,683.580172740197,0.15789473684210525,1,0
30,720.1178019350742,0.15789473684210525,1,0
31,106.70238561849919,0.1111111111111111,1,0
32,556.8148553555664,0.15789473684210525,1,0
33,829.6892888562913,0.15789473684210525,1,0
34,558.8287139690713,0.1111111111111111,1,0
35,288.9052437772394,0.058823529411764705,1,0
36,276.9765887716934,0.058823529411764705,1,0
37,344.86171168013317,0.15789473684210525,1,0
38,589.3024990260061,0.15789473684210525,1,0
39,233.6338705094458,0.1111111111111111,1,0
40,-359.82795571099433,0.1111111111111111,1,0
41,-170.39595143895298,0.058823529411764705,1,0
42,199.3530373406352,0.15789473684210525,1,0
43,488.3640973576647,0.1111111111111111,1,0
44,366.287214336446,0.1111111111111111,1,0
45,536.0586310531696,0.15789473684210525,1,0
46,554.3170117410963,0.15789473684210525,1,0
47,197.27678874421414,0.1111111111111111,1,0
48,92.19640593179648,0.1111111111111111,1,0
49,-348.9192216187189,0.058823529411764705,1,0
50,167.62351479421048,0.1111111111111111,1,0
