Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,2207.265672618986,0.42857142857142855,1,0
2,2009.817986711697,0.42857142857142855,1,0
3,2030.4130801580877,0.42857142857142855,1,0
4,2038.7245322789154,0.42857142857142855,1,0
5,2040.4259815918927,0.42857142857142855,1,0
6,2043.3248486372863,0.42857142857142855,1,0
7,2046.2971935458863,0.42857142857142855,1,0
8,2321.611109769152,0.6444444444444444,1,0
9,3682.480677488614,0.42857142857142855,1,0
10,6591.674651793652,1.0,1,0
11,7256.31260993672,1.0,1,0
12,7257.310493839987,1.0,1,0
13,7257.308103200186,1.0,1,0
14,7257.006015090208,1.0,1,0
15,7257.177912246983,1.0,1,0
16,7256.70928061687,1.0,1,0
17,7256.938579148717,1.0,1,0
18,7256.853948371195,1.0,1,0
19,7256.48017857117,1.0,1,0
20,7256.702736668014,1.0,1,0
21,7256.6559315876475,1.0,1,0
22,7256.088587949119,1.0,1,0
23,7256.1534540349085,1.0,1,0
24,7255.7863636993025,1.0,1,0
25,7255.58217407592,1.0,1,0
26,7254.848912237886,1.0,1,0
27,7255.131551996611,1.0,1,0
28,7255.13021661143,1.0,1,0
29,7255.061282186899,1.0,1,0
30,7254.613013775695,1.0,1,0
31,7255.270869248257,1.0,1,0
32,7255.253713372946,1.0,1,0
33,7255.393703505388,1.0,1,0
34,7255.183453171118,1.0,1,0
35,7254.843028608209,1.0,1,0
36,7255.45804869178,1.0,1,0
37,7255.282148675312,1.0,1,0
38,7255.161297623022,1.0,1,0
39,7255.171485659641,1.0,1,0
40,7255.389144891141,1.0,1,0
41,7255.705752693472,1.0,1,0
42,7255.628974426472,1.0,1,0
43,7255.983105443756,1.0,1,0
44,7255.095846321546,1.0,1,0
45,7254.638844973704,1.0,1,0
46,7254.210750568084,1.0,1,0
47,7253.747504354338,1.0,1,0
48,7253.171066737823,1.0,1,0
49,7252.640553070856,1.0,1,0
50,7251.8899998169645,1.0,1,0
