Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7109.274804872465,1.0,1,0
2,7191.815417459133,1.0,1,0
3,7193.751159157237,1.0,1,0
4,7194.5065876034,1.0,1,0
5,7195.01794099383,1.0,1,0
6,7195.322369594171,1.0,1,0
7,7195.51542655054,1.0,1,0
8,7195.628698989519,1.0,1,0
9,7195.6892916082425,1.0,1,0
10,7195.731393041635,1.0,1,0
11,7195.76560168781,1.0,1,0
12,7195.793946488423,1.0,1,0
13,7195.814862468738,1.0,1,0
14,7195.81740090882,1.0,1,0
15,7195.81740090882,1.0,1,0
16,7195.81740090882,1.0,1,0
17,7195.81740090882,1.0,1,0
18,7195.81740090882,1.0,1,0
19,7195.81740090882,1.0,1,0
20,7195.81740090882,1.0,1,0
21,7195.81740090882,1.0,1,0
22,7195.81740090882,1.0,1,0
23,7195.81740090882,1.0,1,0
24,7195.81740090882,1.0,1,0
25,7195.81740090882,1.0,1,0
26,7195.81740090882,1.0,1,0
27,7195.81740090882,1.0,1,0
28,7195.81740090882,1.0,1,0
29,7195.81740090882,1.0,1,0
30,7195.81740090882,1.0,1,0
31,7195.691872669743,1.0,1,0
32,7195.542818896429,1.0,1,0
33,7194.984194919267,1.0,1,0
34,7193.383868413388,1.0,1,0
35,7191.242345764169,1.0,1,0
36,7188.6719228547345,1.0,1,0
37,7185.751305619283,1.0,1,0
38,7182.57682009475,1.0,1,0
39,7179.367762987422,1.0,1,0
40,7176.157856162399,1.0,1,0
41,7173.104801587596,1.0,1,0
42,7170.257113739497,1.0,1,0
43,7167.567538487649,1.0,1,0
44,7165.093087970178,1.0,1,0
45,7162.782873242856,1.0,1,0
46,7160.697119477443,1.0,1,0
47,7158.7118483483555,1.0,1,0
48,7156.870554932323,1.0,1,0
49,7155.0940089557525,1.0,1,0
50,7153.455862419257,1.0,1,0
