Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,5754.121542238382,0.696969696969697,1,0
2,2998.0587800669905,0.375,1,0
3,2206.756381720621,0.23076923076923078,1,0
4,2273.1501467982284,0.23076923076923078,1,0
5,2102.43219590563,0.375,1,0
6,2082.823372651318,0.375,1,0
7,1984.7948341692895,0.23076923076923078,1,0
8,1915.515373199253,0.23076923076923078,1,0
9,2769.800030551178,0.4949494949494949,1,0
10,4120.751156800761,0.6,1,0
11,4416.404262796741,0.696969696969697,1,0
12,6818.656909875054,1.0,1,0
13,7128.676382497854,1.0,1,0
14,7134.006203500752,1.0,1,0
15,7138.566050995827,1.0,1,0
16,7142.5200978203275,1.0,1,0
17,7146.002079331865,1.0,1,0
18,7149.089806374187,1.0,1,0
19,7151.835758009255,1.0,1,0
20,7154.304676567204,1.0,1,0
21,7156.541266810917,1.0,1,0
22,7158.573205626354,1.0,1,0
23,7160.432171705706,1.0,1,0
24,7162.140018929123,1.0,1,0
25,7163.710695556454,1.0,1,0
26,7165.159928045842,1.0,1,0
27,7166.499222578337,1.0,1,0
28,7167.740615170136,1.0,1,0
29,7168.901179608791,1.0,1,0
30,7169.982273104442,1.0,1,0
31,7170.995947844394,1.0,1,0
32,7171.935096897215,1.0,1,0
33,7172.823193455955,1.0,1,0
34,7173.663587773209,1.0,1,0
35,7174.450939127705,1.0,1,0
36,7175.195303798,1.0,1,0
37,7175.897018761109,1.0,1,0
38,7176.563692982568,1.0,1,0
39,7177.196995725814,1.0,1,0
40,7177.795977338193,1.0,1,0
41,7178.368897312939,1.0,1,0
42,7178.912663983824,1.0,1,0
43,7179.428795388435,1.0,1,0
44,7179.917440969615,1.0,1,0
45,7180.391060887258,1.0,1,0
46,7180.842203580512,1.0,1,0
47,7181.27521452695,1.0,1,0
48,7181.686303188308,1.0,1,0
49,7182.0827706947275,1.0,1,0
50,7182.463869179486,1.0,1,0
